,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
4201,8341,A86,branching,head final,2,"[1,3]",True,kolkil moy tinkin,kolkil moy tinkin,kmt,kmt,1.0,vtsk,horiz,atop,tmk,trk,tmk,trk,kmt,krt,kmt,krt,kmt,krt,kmt,krt,tmk,trk,tmk,trk,tkm,tkr,tkm,tkr,ktm,ktr,ktm,ktr,mkt,rkt,mkt,rkt,mtk,rtk,mtk,rtk,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,tkm,tkr,tkm,tkr,ktm,ktr,ktm,ktr,mkt,rkt,mkt,rkt,mtk,rtk,mtk,rtk,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr
4202,8342,A86,branching,head final,2,"[0,[1]]",True,tinkin rae vusu,tinkin rae vusu,trv,trv,1.0,vtsk,horiz,atop,vrt,vmt,trv,tmv,vrt,vmt,trv,tmv,trv,tmv,vrt,vmt,trv,tmv,vrt,vmt,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm
4203,8343,A86,branching,head final,2,"[3,[1]]",True,tinkin rae kolkil,tinkin rae kolkil,trk,trk,1.0,vtsk,horiz,atop,krt,kmt,trk,tmk,krt,kmt,trk,tmk,trk,tmk,krt,kmt,trk,tmk,krt,kmt,ktr,ktm,tkr,tkm,ktr,ktm,tkr,tkm,rtk,mtk,rkt,mkt,rtk,mtk,rkt,mkt,rkt,mkt,rtk,mtk,rkt,mkt,rtk,mtk,ktr,ktm,tkr,tkm,ktr,ktm,tkr,tkm,rtk,mtk,rkt,mkt,rtk,mtk,rkt,mkt,tkr,tkm,ktr,ktm,tkr,tkm,ktr,ktm
4215,8355,A86,branching,head final,3,"[[3,2],[0]]",True,vusu rae solson moy kolkil,vusu rae solson moy kolkil,vrsmk,vrsmk,1.0,vtsk,horiz,atop,kmsrv,kmsmv,vrkms,vmkms,smkrv,smkmv,vrsmk,vmsmk,vrsmk,vmsmk,smkrv,smkmv,vrkms,vmkms,kmsrv,kmsmv,ksvrm,ksvmm,vksmr,vksmm,skvrm,skvmm,vskmr,vskmm,mrvsk,mmvsk,rmskv,mmskv,mrvks,mmvks,rmksv,mmksv,mrksv,mmksv,rmvks,mmvks,mrskv,mmskv,rmvsk,mmvsk,ksvmr,ksvmm,vksrm,vksmm,skvmr,skvmm,vskrm,vskmm,rmvsk,mmvsk,mrskv,mmskv,rmvks,mmvks,mrksv,mmksv,vskrm,vskmm,skvmr,skvmm,vksrm,vksmm,ksvmr,ksvmm
4205,8345,A86,branching,head final,2,"[2,1]",True,tinkin moy solson,tinkin moy solson,tms,tms,1.0,vtsk,horiz,atop,smt,srt,smt,srt,tms,trs,tms,trs,tms,trs,tms,trs,smt,srt,smt,srt,stm,str,stm,str,tsm,tsr,tsm,tsr,mts,rts,mts,rts,mst,rst,mst,rst,mst,rst,mst,rst,mts,rts,mts,rts,stm,str,stm,str,tsm,tsr,tsm,tsr,mts,rts,mts,rts,mst,rst,mst,rst,tsm,tsr,tsm,tsr,stm,str,stm,str
4207,8347,A86,branching,head final,2,"[3,[0]]",True,vusu rae kolkil,vusu rae kolkil,vrk,vrk,1.0,vtsk,horiz,atop,krv,kmv,vrk,vmk,krv,kmv,vrk,vmk,vrk,vmk,krv,kmv,vrk,vmk,krv,kmv,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm
4208,8348,A86,branching,head final,2,"[2,2]",False,vusu moy vusu,solson moy solson,vmv,sms,0.33333333333333304,vtsk,horiz,atop,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr
4209,8349,A86,branching,head final,2,"[2,[3]]",False,tinkin rae kolkil,kolkil rae solson,trk,krs,0.33333333333333304,vtsk,horiz,atop,srk,smk,krs,kms,srk,smk,krs,kms,krs,kms,srk,smk,krs,kms,srk,smk,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,rsk,msk,rks,mks,rsk,msk,rks,mks,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,ksr,ksm,skr,skm,ksr,ksm,skr,skm
4210,8350,A86,branching,head final,2,"[0,[2]]",False,tinkin rae solson,solson rae vusu,trs,srv,0.33333333333333304,vtsk,horiz,atop,vrs,vms,srv,smv,vrs,vms,srv,smv,srv,smv,vrs,vms,srv,smv,vrs,vms,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,rvs,mvs,rsv,msv,rvs,mvs,rsv,msv,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,svr,svm,vsr,vsm,svr,svm,vsr,vsm
4211,8351,A86,branching,head final,2,"[0,1]",False,vusu rae tinkin,tinkin moy vusu,vrt,tmv,0.0,vtsk,horiz,atop,vmt,vrt,vmt,vrt,tmv,trv,tmv,trv,tmv,trv,tmv,trv,vmt,vrt,vmt,vrt,vtm,vtr,vtm,vtr,tvm,tvr,tvm,tvr,mtv,rtv,mtv,rtv,mvt,rvt,mvt,rvt,mvt,rvt,mvt,rvt,mtv,rtv,mtv,rtv,vtm,vtr,vtm,vtr,tvm,tvr,tvm,tvr,mtv,rtv,mtv,rtv,mvt,rvt,mvt,rvt,tvm,tvr,tvm,tvr,vtm,vtr,vtm,vtr
4212,8352,A86,branching,head final,3,"[[3,[3]],[2]]",True,solson rae kolkil rae kolkil,solson rae kolkil rae kolkil,srkrk,srkrk,1.0,vtsk,horiz,atop,krkrs,krkms,srkrk,smkrk,krkrs,krkms,srkrk,smkrk,srkrk,smkrk,krkrs,krkms,srkrk,smkrk,krkrs,krkms,kksrr,kksmr,skkrr,skkrm,kksrr,kksmr,skkrr,skkrm,rrskk,rmskk,rrkks,mrkks,rrskk,rmskk,rrkks,mrkks,rrkks,rmkks,rrskk,mrskk,rrkks,rmkks,rrskk,mrskk,kksrr,kksrm,skkrr,skkmr,kksrr,kksrm,skkrr,skkmr,rrskk,mrskk,rrkks,rmkks,rrskk,mrskk,rrkks,rmkks,skkrr,skkmr,kksrr,kksrm,skkrr,skkmr,kksrr,kksrm
4213,8353,A86,branching,head final,3,"[2,[3,[0]]]",True,vusu rae kolkil moy solson,vusu rae kolkil moy solson,vrkms,vrkms,1.0,vtsk,horiz,atop,smkrv,srkrv,smvrk,srvrk,krvms,krvrs,vrkms,vrkrs,vrkms,vrkrs,krvms,krvrs,smvrk,srvrk,smkrv,srkrv,skvrm,skvrr,svkrm,svkrr,kvsmr,kvsrr,vksmr,vksrr,mrvks,rrvks,mrkvs,rrkvs,rmsvk,rrsvk,rmskv,rrskv,mrskv,rrskv,mrsvk,rrsvk,rmkvs,rrkvs,rmvks,rrvks,skvmr,skvrr,svkmr,svkrr,kvsrm,kvsrr,vksrm,vksrr,rmvks,rrvks,rmkvs,rrkvs,mrsvk,rrsvk,mrskv,rrskv,vksrm,vksrr,kvsrm,kvsrr,svkmr,svkrr,skvmr,skvrr
4204,8344,A86,branching,head final,2,"[2,[1]]",True,tinkin rae solson,tinkin rae solson,trs,trs,1.0,vtsk,horiz,atop,srt,smt,trs,tms,srt,smt,trs,tms,trs,tms,srt,smt,trs,tms,srt,smt,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,rst,mst,rts,mts,rst,mst,rts,mts,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,tsr,tsm,str,stm,tsr,tsm,str,stm
4263,8451,A87,crossed,head initial,3,"[[1,2],0]",False,vuntun silvil titil moy moy,vuntun silvil titil moy moy,vstmm,vstmm,1.0,tvsk,left,atop,vmsmt,vmsrt,vmsmt,vmsrt,tmsmv,trsmv,tmsmv,trsmv,tmsmv,trsmv,tmsmv,trsmv,vmsmt,vmsrt,vmsmt,vmsrt,vstmm,vstrm,vstmm,vstrm,tsvmm,tsvmr,tsvmm,tsvmr,mmtsv,mrtsv,mmtsv,mrtsv,mmvst,rmvst,mmvst,rmvst,mmvst,mrvst,mmvst,mrvst,mmtsv,rmtsv,mmtsv,rmtsv,vstmm,vstmr,vstmm,vstmr,tsvmm,tsvrm,tsvmm,tsvrm,mmtsv,rmtsv,mmtsv,rmtsv,mmvst,mrvst,mmvst,mrvst,tsvmm,tsvrm,tsvmm,tsvrm,vstmm,vstmr,vstmm,vstmr
4262,8450,A87,crossed,head initial,3,"[[1,[1]],0]",False,vuntun vuntun titil rae moy,vuntun vuntun titil rae moy,vvtrm,vvtrm,1.0,tvsk,left,atop,vrvmt,vrvrt,vrvmt,vrvrt,tmvrv,trvrv,tmvrv,trvrv,tmvrv,trvrv,tmvrv,trvrv,vrvmt,vrvrt,vrvmt,vrvrt,vvtmr,vvtrr,vvtmr,vvtrr,tvvrm,tvvrr,tvvrm,tvvrr,rmtvv,rrtvv,rmtvv,rrtvv,mrvvt,rrvvt,mrvvt,rrvvt,rmvvt,rrvvt,rmvvt,rrvvt,mrtvv,rrtvv,mrtvv,rrtvv,vvtrm,vvtrr,vvtrm,vvtrr,tvvmr,tvvrr,tvvmr,tvvrr,mrtvv,rrtvv,mrtvv,rrtvv,rmvvt,rrvvt,rmvvt,rrvvt,tvvmr,tvvrr,tvvmr,tvvrr,vvtrm,vvtrr,vvtrm,vvtrr
4258,8446,A87,crossed,head initial,3,"[[1,[2]],2]",True,vuntun silvil silvil rae moy,vuntun silvil silvil rae moy,vssrm,vssrm,1.0,tvsk,left,atop,vrsms,vrsrs,srvms,srvrs,smvrs,srvrs,smsrv,srsrv,smsrv,srsrv,smvrs,srvrs,srvms,srvrs,vrsms,vrsrs,vssmr,vssrr,svsmr,svsrr,svsrm,svsrr,ssvrm,ssvrr,rmssv,rrssv,rmsvs,rrsvs,mrsvs,rrsvs,mrvss,rrvss,rmvss,rrvss,rmsvs,rrsvs,mrsvs,rrsvs,mrssv,rrssv,vssrm,vssrr,svsrm,svsrr,svsmr,svsrr,ssvmr,ssvrr,mrssv,rrssv,mrsvs,rrsvs,rmsvs,rrsvs,rmvss,rrvss,ssvmr,ssvrr,svsmr,svsrr,svsrm,svsrr,vssrm,vssrr
4260,8448,A87,crossed,head initial,3,"[0,[[1,1]]]",False,titil vuntun vuntun rae moy,titil vuntun vuntun rae moy,tvvrm,tvvrm,1.0,tvsk,left,atop,trvmv,tmvrv,vmvrt,vrvmt,trvmv,tmvrv,vmvrt,vrvmt,vmvrt,vrvmt,trvmv,tmvrv,vmvrt,vrvmt,trvmv,tmvrv,tvvmr,tvvrm,vvtrm,vvtmr,tvvmr,tvvrm,vvtrm,vvtmr,rmvvt,mrvvt,mrtvv,rmtvv,rmvvt,mrvvt,mrtvv,rmtvv,rmtvv,mrtvv,mrvvt,rmvvt,rmtvv,mrtvv,mrvvt,rmvvt,tvvrm,tvvmr,vvtmr,vvtrm,tvvrm,tvvmr,vvtmr,vvtrm,mrvvt,rmvvt,rmtvv,mrtvv,mrvvt,rmvvt,rmtvv,mrtvv,vvtmr,vvtrm,tvvrm,tvvmr,vvtmr,vvtrm,tvvrm,tvvmr
4259,8447,A87,crossed,head initial,3,"[[0,3],[1]]",True,titil kaku vuntun moy rae,titil kaku vuntun moy rae,tkvmr,tkvmr,1.0,tvsk,left,atop,tmkrv,tmkmv,vrtmk,vmtmk,kmtrv,kmtmv,vrkmt,vmkmt,vrkmt,vmkmt,kmtrv,kmtmv,vrtmk,vmtmk,tmkrv,tmkmv,tkvrm,tkvmm,vtkmr,vtkmm,ktvrm,ktvmm,vktmr,vktmm,mrvkt,mmvkt,rmktv,mmktv,mrvtk,mmvtk,rmtkv,mmtkv,mrtkv,mmtkv,rmvtk,mmvtk,mrktv,mmktv,rmvkt,mmvkt,tkvmr,tkvmm,vtkrm,vtkmm,ktvmr,ktvmm,vktrm,vktmm,rmvkt,mmvkt,mrktv,mmktv,rmvtk,mmvtk,mrtkv,mmtkv,vktrm,vktmm,ktvmr,ktvmm,vtkrm,vtkmm,tkvmr,tkvmm
4264,8452,A87,crossed,head initial,4,"[3,[2,[2,[3]]]]",False,kaku silvil silvil kaku moy moy rae,kaku silvil silvil kaku moy moy rae,ksskmmr,ksskmmr,1.0,tvsk,left,atop,kmsmsrk,krsmsmk,kmsmkrs,krsmkms,srkmsmk,smkmsrk,krsmsmk,kmsmsrk,krsmsmk,kmsmsrk,srkmsmk,smkmsrk,kmsmkrs,krsmkms,kmsmsrk,krsmsmk,ksskrmm,ksskmmr,ksksrmm,ksksmmr,skskmmr,skskrmm,ksskmmr,ksskrmm,mmrkssk,rmmkssk,mmrsksk,rmmsksk,rmmksks,mmrksks,rmmkssk,mmrkssk,mmrkssk,rmmkssk,mmrksks,rmmksks,rmmsksk,mmrsksk,rmmkssk,mmrkssk,ksskmmr,ksskrmm,ksksmmr,ksksrmm,skskrmm,skskmmr,ksskrmm,ksskmmr,rmmkssk,mmrkssk,rmmsksk,mmrsksk,mmrksks,rmmksks,mmrkssk,rmmkssk,ksskrmm,ksskmmr,skskrmm,skskmmr,ksksmmr,ksksrmm,ksskmmr,ksskrmm
4261,8449,A87,crossed,head initial,3,"[[3,3],0]",False,kaku kaku titil moy moy,kaku kaku titil moy moy,kktmm,kktmm,1.0,tvsk,left,atop,kmkmt,kmkrt,kmkmt,kmkrt,tmkmk,trkmk,tmkmk,trkmk,tmkmk,trkmk,tmkmk,trkmk,kmkmt,kmkrt,kmkmt,kmkrt,kktmm,kktrm,kktmm,kktrm,tkkmm,tkkmr,tkkmm,tkkmr,mmtkk,mrtkk,mmtkk,mrtkk,mmkkt,rmkkt,mmkkt,rmkkt,mmkkt,mrkkt,mmkkt,mrkkt,mmtkk,rmtkk,mmtkk,rmtkk,kktmm,kktmr,kktmm,kktmr,tkkmm,tkkrm,tkkmm,tkkrm,mmtkk,rmtkk,mmtkk,rmtkk,mmkkt,mrkkt,mmkkt,mrkkt,tkkmm,tkkrm,tkkmm,tkkrm,kktmm,kktmr,kktmm,kktmr
4265,8453,A87,crossed,head initial,4,"[1,[[2,[2,1]]]]",False,vuntun silvil silvil vuntun rae moy moy,vuntun silvil silvil vuntun rae moy moy,vssvrmm,vssvrmm,1.0,tvsk,left,atop,vrsmsmv,vmsrsmv,smsmvrv,srsmvmv,vrvmsms,vmvmsrs,vmsmsrv,vmsrsmv,vmsmsrv,vmsrsmv,vrvmsms,vmvmsrs,smsmvrv,srsmvmv,vrsmsmv,vmsrsmv,vssvmmr,vssvmrm,ssvvrmm,ssvvmmr,vvssmmr,vvssrmm,vssvrmm,vssvmrm,rmmvssv,mrmvssv,mmrvvss,rmmvvss,rmmssvv,mmrssvv,mmrvssv,mrmvssv,rmmvssv,mrmvssv,mmrssvv,rmmssvv,rmmvvss,mmrvvss,mmrvssv,mrmvssv,vssvrmm,vssvmrm,ssvvmmr,ssvvrmm,vvssrmm,vvssmmr,vssvmmr,vssvmrm,mmrvssv,mrmvssv,rmmvvss,mmrvvss,mmrssvv,rmmssvv,rmmvssv,mrmvssv,vssvmmr,vssvmrm,vvssrmm,vvssmmr,ssvvmmr,ssvvrmm,vssvrmm,vssvmrm
4270,8458,A87,crossed,head initial,4,"[0,[3,[[0,[0]]]]]",False,titil kaku titil titil moy rae rae,titil kaku titil titil moy rae rae,tkttmrr,tkttmrr,1.0,tvsk,left,atop,tmkrtrt,trkrtrt,tmtrtrk,trtrtrk,krtrtmt,krtrtrt,trtrkmt,trtrkrt,trtrkmt,trtrkrt,krtrtmt,krtrtrt,tmtrtrk,trtrtrk,tmkrtrt,trkrtrt,tkttrrm,tkttrrr,tttkrrm,tttkrrr,ktttmrr,ktttrrr,ttktmrr,ttktrrr,mrrttkt,rrrttkt,mrrkttt,rrrkttt,rrmtttk,rrrtttk,rrmtktt,rrrtktt,mrrtktt,rrrtktt,mrrtttk,rrrtttk,rrmkttt,rrrkttt,rrmttkt,rrrttkt,tkttmrr,tkttrrr,tttkmrr,tttkrrr,ktttrrm,ktttrrr,ttktrrm,ttktrrr,rrmttkt,rrrttkt,rrmkttt,rrrkttt,mrrtttk,rrrtttk,mrrtktt,rrrtktt,ttktrrm,ttktrrr,ktttrrm,ktttrrr,tttkmrr,tttkrrr,tkttmrr,tkttrrr
4267,8455,A87,crossed,head initial,4,"[0,[[3,[[1,1]]]]]",False,titil kaku vuntun vuntun rae rae moy,titil kaku vuntun vuntun rae rae moy,tkvvrrm,tkvvrrm,1.0,tvsk,left,atop,trkrvmv,tmkmvrv,vmvrkrt,vrvmkmt,trkrvmv,tmkmvrv,vmvrkrt,vrvmkmt,vmvrkrt,vrvmkmt,trkrvmv,tmkmvrv,vmvrkrt,vrvmkmt,trkrvmv,tmkmvrv,tkvvmrr,tkvvrmm,vvktrrm,vvktmmr,tkvvmrr,tkvvrmm,vvktrrm,vvktmmr,rrmvvkt,mmrvvkt,mrrtkvv,rmmtkvv,rrmvvkt,mmrvvkt,mrrtkvv,rmmtkvv,rrmtkvv,mmrtkvv,mrrvvkt,rmmvvkt,rrmtkvv,mmrtkvv,mrrvvkt,rmmvvkt,tkvvrrm,tkvvmmr,vvktmrr,vvktrmm,tkvvrrm,tkvvmmr,vvktmrr,vvktrmm,mrrvvkt,rmmvvkt,rrmtkvv,mmrtkvv,mrrvvkt,rmmvvkt,rrmtkvv,mmrtkvv,vvktmrr,vvktrmm,tkvvrrm,tkvvmmr,vvktmrr,vvktrmm,tkvvrrm,tkvvmmr
4268,8456,A87,crossed,head initial,4,"[[[0,1],0],[2]]",False,titil vuntun titil silvil moy moy rae,titil vuntun titil silvil moy moy rae,tvtsmmr,tvtsmmr,1.0,tvsk,left,atop,tmvmtrs,trvmtms,srtmvmt,smtrvmt,tmvmtrs,tmvrtms,srtmvmt,smtmvrt,srtmvmt,smtmvrt,tmvmtrs,tmvrtms,srtmvmt,smtrvmt,tmvmtrs,trvmtms,tvtsrmm,tvtsmmr,stvtmmr,stvtmrm,tvtsrmm,tvtsmrm,stvtmmr,stvtrmm,mmrstvt,rmmstvt,rmmtvts,mrmtvts,mmrstvt,mrmstvt,rmmtvts,mmrtvts,mmrtvts,rmmtvts,rmmstvt,mrmstvt,mmrtvts,mrmtvts,rmmstvt,mmrstvt,tvtsmmr,tvtsrmm,stvtrmm,stvtmrm,tvtsmmr,tvtsmrm,stvtrmm,stvtmmr,rmmstvt,mmrstvt,mmrtvts,mrmtvts,rmmstvt,mrmstvt,mmrtvts,rmmtvts,stvtrmm,stvtmmr,tvtsmmr,tvtsmrm,stvtrmm,stvtmrm,tvtsmmr,tvtsrmm
4269,8457,A87,crossed,head initial,4,"[[[2,0],1],2]",False,silvil titil vuntun silvil moy moy moy,silvil titil vuntun silvil moy moy moy,stvsmmm,stvsmmm,1.0,tvsk,left,atop,smtmvms,srtmvrs,smtmvms,srtmvrs,smvmtms,srvmtrs,smvmtms,srvmtrs,smvmtms,srvmtrs,smvmtms,srvmtrs,smtmvms,srtmvrs,smtmvms,srtmvrs,stvsmmm,stvsrmr,stvsmmm,stvsrmr,svtsmmm,svtsrmr,svtsmmm,svtsrmr,mmmsvts,rmrsvts,mmmsvts,rmrsvts,mmmstvs,rmrstvs,mmmstvs,rmrstvs,mmmstvs,rmrstvs,mmmstvs,rmrstvs,mmmsvts,rmrsvts,mmmsvts,rmrsvts,stvsmmm,stvsrmr,stvsmmm,stvsrmr,svtsmmm,svtsrmr,svtsmmm,svtsrmr,mmmsvts,rmrsvts,mmmsvts,rmrsvts,mmmstvs,rmrstvs,mmmstvs,rmrstvs,svtsmmm,svtsrmr,svtsmmm,svtsrmr,stvsmmm,stvsrmr,stvsmmm,stvsrmr
4271,8459,A87,crossed,head initial,4,"[[[2,[1]],[2]],[3]]",False,silvil vuntun silvil kaku rae rae rae,silvil vuntun silvil kaku rae rae rae,svskrrr,svskrrr,1.0,tvsk,left,atop,srvrsrk,smvrsmk,krsrvrs,kmsrvms,srvrsrk,smvrsmk,krsrvrs,kmsrvms,krsrvrs,kmsrvms,srvrsrk,smvrsmk,krsrvrs,kmsrvms,srvrsrk,smvrsmk,svskrrr,svskmrm,ksvsrrr,ksvsmrm,svskrrr,svskmrm,ksvsrrr,ksvsmrm,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,svskrrr,svskmrm,ksvsrrr,ksvsmrm,svskrrr,svskmrm,ksvsrrr,ksvsmrm,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,rrrksvs,mrmksvs,rrrsvsk,mrmsvsk,ksvsrrr,ksvsmrm,svskrrr,svskmrm,ksvsrrr,ksvsmrm,svskrrr,svskmrm
4272,8460,A87,crossed,head initial,4,"[2,[0,[[2,3]]]]",False,silvil titil silvil kaku moy rae moy,silvil titil silvil kaku moy rae moy,stskmrm,stskmrm,1.0,tvsk,left,atop,smtrsmk,srtrsmk,smsmkrt,srsmkrt,trkmsms,trkmsrs,kmsrtms,kmsrtrs,kmsrtms,kmsrtrs,trkmsms,trkmsrs,smsmkrt,srsmkrt,smtrsmk,srtrsmk,stskmrm,stskmrr,ssktrmm,ssktrmr,tkssmmr,tkssrmr,kstsmrm,kstsrrm,mrmksts,rrmksts,mmrtkss,rmrtkss,rmmsskt,rmrsskt,mrmstsk,mrrstsk,mrmstsk,rrmstsk,mmrsskt,rmrsskt,rmmtkss,rmrtkss,mrmksts,mrrksts,stskmrm,stskrrm,ssktmmr,ssktrmr,tkssrmm,tkssrmr,kstsmrm,kstsmrr,mrmksts,mrrksts,rmmtkss,rmrtkss,mmrsskt,rmrsskt,mrmstsk,rrmstsk,kstsmrm,kstsmrr,tkssrmm,tkssrmr,ssktmmr,ssktrmr,stskmrm,stskrrm
4273,8461,A87,crossed,head initial,4,"[[[1,[1]],3],0]",False,vuntun vuntun kaku titil rae moy moy,vuntun vuntun kaku titil rae moy moy,vvktrmm,vvktrmm,1.0,tvsk,left,atop,vrvmkmt,vmvmkrt,vrvmkmt,vmvmkrt,tmkmvrv,trkmvmv,tmkmvrv,trkmvmv,tmkmvrv,trkmvmv,tmkmvrv,trkmvmv,vrvmkmt,vmvmkrt,vrvmkmt,vmvmkrt,vvktmmr,vvktrmm,vvktmmr,vvktrmm,tkvvrmm,tkvvmmr,tkvvrmm,tkvvmmr,rmmtkvv,mmrtkvv,rmmtkvv,mmrtkvv,mmrvvkt,rmmvvkt,mmrvvkt,rmmvvkt,rmmvvkt,mmrvvkt,rmmvvkt,mmrvvkt,mmrtkvv,rmmtkvv,mmrtkvv,rmmtkvv,vvktrmm,vvktmmr,vvktrmm,vvktmmr,tkvvmmr,tkvvrmm,tkvvmmr,tkvvrmm,mmrtkvv,rmmtkvv,mmrtkvv,rmmtkvv,rmmvvkt,mmrvvkt,rmmvvkt,mmrvvkt,tkvvmmr,tkvvrmm,tkvvmmr,tkvvrmm,vvktrmm,vvktmmr,vvktrmm,vvktmmr
